,Words,Frequency
1298,program,0
1299,gender,5
1300,wanting,5
1301,score,1
1302,breaking,11
1303,areas,2
1304,actions,13
1305,requires,1
1306,wont,1
1307,somebody,0
1308,russia,0
1309,touch,1
1310,skills,1
1311,wrote,1
1312,tech,0
1313,draw,0
1314,events,0
1315,held,0
1316,appreciate,2
1317,mode,1
1318,acting,3
1319,football,0
1320,pop,0
1321,keeps,0
1322,prevent,2
1323,campaign,0
1324,concept,0
1325,official,0
1326,father,6
1327,ridiculous,1
1328,designed,2
1329,degree,3
1330,finish,2
1331,cheaper,0
1332,voting,1
1333,update,0
1334,aside,0
1335,period,2
1336,trouble,2
1337,rock,0
1338,nature,2
1339,significant,2
1340,church,2
1341,topic,5
1342,yep,0
1343,admit,3
1344,boss,4
1345,pictures,5
1346,loss,3
1347,rape,3
1348,study,2
1349,impact,2
1350,memory,1
1351,opposite,6
1352,thousands,0
1353,sick,2
1354,education,3
1355,forgot,0
1356,healthy,6
1357,agreed,6
1358,west,0
1359,anymore,2
1360,career,1
1361,logic,1
1362,join,1
1363,train,0
1364,helped,1
1365,counter,0
1366,somewhat,0
1367,sucks,0
1368,rare,1
1369,purpose,4
1370,horrible,0
1371,suddenly,4
1372,pressure,8
1373,protect,3
1374,earlier,3
1375,dank,0
1376,FALSE,0
1377,drug,0
1378,gain,2
1379,types,0
1380,wanna,0
1381,replace,2
1382,adding,1
1383,solution,3
1384,balance,2
1385,camera,1
1386,property,2
1387,item,0
1388,active,0
1389,necessary,1
1390,ban,0
1391,lucky,3
1392,likes,2
1393,technically,0
1394,brother,9
1395,universe,2
1396,amazon,1
1397,showed,1
1398,linked,0
1399,finished,0
1400,combat,0
1401,closer,3
1402,deck,0
1403,mad,7
1404,claims,0
1405,fixed,1
1406,software,0
1407,dollars,0
1408,bother,0
1409,ex,22
1410,systems,0
1411,effects,1
1412,gas,1
1413,tiny,7
1414,federal,0
1415,tons,0
1416,brand,0
1417,setting,3
1418,ad,0
1419,election,1
1420,dangerous,2
1421,canada,0
1422,crap,4
1423,project,0
1424,travel,0
1425,industry,1
1426,hero,0
1427,economic,0
1428,boy,0
1429,machine,1
1430,tough,0
1431,copy,0
1432,effective,0
1433,yea,0
1434,unique,0
1435,judge,3
1436,movement,2
1437,limit,1
1438,violence,3
1439,equal,2
1440,normally,1
1441,absolute,1
1442,bank,3
1443,deserve,1
1444,theyre,1
1445,heat,1
1446,caused,6
1447,figured,0
1448,press,3
1449,allows,2
1450,broke,2
1451,facebook,2
1452,anime,0
1453,awful,0
1454,center,0
1455,subject,1
1456,haha,0
1457,er,1
1458,politics,2
1459,feet,2
1460,wars,0
1461,fault,2
1462,chinese,0
1463,king,0
1464,n,2
1465,contract,1
1466,europe,1
1467,letting,9
1468,treat,15
1469,ends,4
1470,beer,1
1471,beautiful,0
1472,dropped,3
1473,afraid,1
1474,armor,0
1475,sports,0
1476,bed,1
1477,nope,0
1478,relatively,0
1479,everybody,0
1480,flat,0
1481,hillary,0
1482,morning,3
1483,development,1
1484,metal,1
1485,typically,0
1486,beginning,0
1487,tells,6
1488,republicans,0
1489,names,3
1490,compare,0
1491,calls,6
1492,budget,0
1493,scale,2
1494,freedom,0
1495,comfortable,6
1496,club,2
1497,resources,3
1498,rid,1
1499,tier,0
1500,clinton,0
1501,shown,0
1502,throwing,5
1503,mobile,1
1504,net,0
1505,students,0
1506,voted,0
1507,banned,0
1508,sweet,1
1509,address,7
1510,western,0
1511,present,1
1512,civil,3
1513,hi,1
1514,foreign,0
1515,album,0
1516,website,0
1517,defend,0
1518,button,2
1519,dogs,1
1520,standing,1
1521,responsible,5
1522,annoying,0
1523,ten,2
1524,weak,0
1525,student,1
1526,russian,0
1527,excuse,6
1528,failed,2
1529,economy,0
1530,si,0
1531,summer,0
1532,band,1
1533,begin,1
1534,status,1
1535,lie,3
1536,fill,2
1537,christian,0
1538,married,19
1539,growing,2
1540,cast,0
1541,curious,0
1542,file,0
1543,millions,1
1544,six,0
1545,bike,0
1546,giant,1
1547,speech,1
1548,professional,6
1549,hits,0
1550,passed,2
1551,pulled,2
1552,managed,0
1553,liberal,0
1554,pure,0
1555,battery,0
1556,properly,0
1557,angry,2
1558,miles,0
1559,park,0
1560,cross,0
1561,split,1
1562,animals,2
1563,suppose,0
1564,production,0
1565,attacks,0
1566,primary,1
1567,meat,1
1568,network,1
1569,capable,0
1570,suck,2
1571,affect,3
1572,supply,0
1573,worried,4
1574,cops,0
1575,upset,9
1576,ride,0
1577,behavior,63
1578,republican,0
1579,safety,7
1580,husband,25
1581,drugs,4
1582,former,3
1583,wide,0
1584,rarely,0
1585,shop,2
1586,sales,0
1587,becoming,2
1588,japanese,0
1589,east,0
1590,successful,2
1591,classes,1
1592,improve,7
1593,indeed,0
1594,wing,1
1595,folks,9
1596,table,6
1597,opportunity,4
1598,talked,1
1599,kick,1
1600,welcome,1
1601,turning,5
1602,reference,0
1603,murder,1
1604,excited,2
1605,mistake,1
1606,apart,1
1607,wins,0
1608,review,1
1609,arguing,3
1610,sources,0
1611,secret,2
1612,facts,0
1613,tired,1
1614,hundreds,3
1615,engine,0
1616,conservative,0
1617,member,1
1618,details,0
1619,john,1
1620,opinions,1
1621,benefits,2
1622,ending,5
1623,moral,1
1624,load,1
1625,solo,0
1626,hitting,4
1627,fly,1
1628,pushing,2
1629,cap,0
1630,marriage,12
1631,material,0
1632,adult,14
1633,odd,2
1634,democrats,0
1635,faith,0
1636,silly,2
1637,extreme,1
1638,army,1
1639,hang,1
1640,referring,1
1641,drinking,2
1642,appears,2
1643,fail,1
1644,technology,1
1645,pack,1
1646,services,0
1647,plot,0
1648,wondering,2
1649,demand,2
1650,till,0
1651,drunk,5
